step,eta,mse,coherence,S,r_norm
0,0.9985261153786407,1.4447370359793775e-05,0.02172905624232542,3.2897317272987054,0.007677170110894355
1,0.9867980559997475,1.0795451381572582e-05,0.0219691365301208,3.289455718868389,0.007742792293805288
2,0.9556695640354446,3.246475620237429e-06,0.021684935989986664,3.2897228667949667,0.007684348744664807
3,0.9624513147013566,3.5294492255847037e-06,0.02168569997637157,3.289788818518371,0.007681811506024476
4,0.9787002048254361,5.233980690362278e-06,0.025383628110676584,3.2844337229596854,0.01663409751657506
5,0.9728724159703227,7.441142519866424e-06,0.02173380860357922,3.289594209073142,0.009248800525172456
6,0.9440316508855751,1.0787608990435995e-05,0.02206765045167249,3.2896928322215504,0.007781160667319185
7,0.9456761168013403,5.154335349829966e-06,0.02279067373951062,3.2889537254811514,0.008674557263448852
8,0.9884925339241417,9.943569910806576e-06,0.023007689023560405,3.288023121868261,0.009236684588009813
9,0.9996857713187856,1.4991016967846634e-05,0.12800084973466314,3.2997572191291225,0.12399874890130265
10,0.9661041754034605,3.0281167154349786e-06,0.021688963870173758,3.2897379497210135,0.012624361050348266
11,0.9745289260287217,5.3635165794370416e-06,0.021710493887624763,3.2896392887384915,0.007679572230685374
12,0.9785495766667588,5.709144948713822e-06,0.021763849628505867,3.2895069337344855,0.007679617555816998
13,0.9581440790564649,1.8094330982660516e-06,0.021685584592542384,3.2897341874267294,0.007684324808407539
14,0.959765882959301,1.8083510196398373e-06,0.02168566778944262,3.289794550584852,0.0076821727702770905
15,0.9767082262627746,5.2398944464956235e-06,0.021848930898082083,3.289429215467627,0.007702927832266442
16,0.9950847046939885,1.3034477401117926e-05,0.028742540802075348,3.279096273186365,0.029521918089734204
17,0.9894816571481382,9.84899772225119e-06,0.047022791427554646,3.2502540489016774,0.07405954892440349
18,0.990141099890627,1.0572688566205626e-05,0.02319156126009384,3.2871180133469626,0.0380498922840667
19,0.9810377226699307,6.93078842176858e-06,0.02178277941577836,3.289411318428724,0.008000779502840784
20,0.9678021440541438,3.287466325812931e-06,0.02169767610531881,3.28979549492311,0.007689390426821729
21,0.9679821011760875,3.1843035957210476e-06,0.021703210832690868,3.2896400009185363,0.007677388503188719
22,0.9665476794133903,3.4309127002329615e-06,0.021702311494770365,3.289909356134526,0.007681350884124952
23,0.9590768343074146,2.625816056768771e-06,0.021693656064559773,3.2897169309476184,0.007682777756466992
24,0.9753944263187807,5.245780102005886e-06,0.02180288213029108,3.289908279284987,0.0076844471572607076
25,0.9898458844782955,1.1504441135313191e-05,0.023304952948368277,3.2886238241316494,0.009923495925659458
26,0.9444893438453087,2.2559148610014004e-06,0.02169380861100719,3.2897036892423506,0.007752265443169738
27,0.9861372441312602,1.0321946985618021e-05,0.022974228018830943,3.287030389193972,0.009471605044668588
28,0.9975045099556624,1.4392051795980632e-05,0.03704096864776911,3.2662508823861485,0.055959669877179714
29,0.9866709904145805,9.545573857081304e-06,0.03664629011542031,3.261917545130765,0.05127233483782022
30,0.9888766124187043,9.936266567666208e-06,0.02898217991901266,3.2755363322628224,0.03204229903709983
31,0.9741318933644163,4.553478716239692e-06,0.02179094882075944,3.2898830564653787,0.01626610307840239
32,0.9950612814451246,1.2864251079071062e-05,0.024953746600761523,3.2853438526775474,0.015476806082257558
33,0.9786703277618121,4.744031853533744e-06,0.021960528839750935,3.2901754814235176,0.009111798088641371
34,0.9661973523045084,3.24832442261372e-06,0.02171745978262049,3.2899039981407934,0.007681081860681833
35,0.9684847190136567,4.0349282014542505e-06,0.021748977860098107,3.2898566049086555,0.007673257517463633
36,0.964442967588309,4.076625319218548e-06,0.021735929762404953,3.289478278865324,0.007683120412221746
37,0.9752765562174392,6.281657253651874e-06,0.022853755567163753,3.289520557210252,0.008832814607645678
38,0.9557702465702003,2.7969690668367994e-06,0.021711301640242712,3.289574290374741,0.0076763607906457235
39,0.9265540130387486,4.933571709528056e-06,0.022171657299141386,3.2882881397603896,0.007957821669993132
40,0.5245062839220941,2.7337491728413378e-06,0.021713380982125587,3.289469098191735,0.007767474779376361
41,0.0872659190887451,6.775769590941936e-06,0.02182328427500786,3.2891362216440205,0.007694664116934298
42,0.4753079010909045,4.854337117349449e-06,0.023113408202335015,3.287851986640071,0.00950005038241766
43,0.0005680224240069788,1.4094137419502087e-05,0.06704318157559061,3.247569289454148,0.0967726899854907
44,0.010847077472837974,5.600448457618211e-06,0.022218692707849153,3.288377381425669,0.0415710029221895
45,0.002265472708598106,4.954968222861442e-06,0.022465909293442936,3.2883427115903094,0.008275567117732327
46,0.007061720716575491,7.247125616522897e-06,0.025392708646907253,3.283497397788609,0.01737118749120364
47,0.00025903003573727554,6.135527483848063e-06,0.026716739833388927,3.2794096984336942,0.021615386448881554
48,8.074581552366027e-05,8.556894006036978e-06,0.0295787761743286,3.276976243961717,0.03186335409563142
49,0.0012392019303606675,6.400709247957394e-06,0.022336541978080465,3.2884890812835943,0.014026782700111652
50,0.005382966436463616,4.363682015895228e-06,0.022222929573186945,3.2894072777479106,0.008006091491887066
51,7.04480575094153e-05,4.827768921155762e-06,0.022891481471352337,3.2888603332615016,0.008970787696296858
52,0.0002977344368808424,4.082724031120904e-06,0.02211910030766842,3.288807164120948,0.007807880636120246
53,4.731491629139279e-05,5.093919122150166e-06,0.02230508570174544,3.2887178960196355,0.008027712707851478
54,3.09501941428558e-06,8.867680816513664e-06,0.027790726015437826,3.2812753575011313,0.026816657782603892
55,2.526459242018792e-05,5.9524061428236595e-06,0.022323703585429188,3.2888269270355566,0.011053963490489241
56,2.3980328844445158e-05,4.309645520257418e-06,0.022121500804317594,3.2895148454276866,0.007874299075848658
57,2.4403823172086247e-05,4.067410534778243e-06,0.022235455824086526,3.2889014745800704,0.007952296070073285
58,1.1338309864097064e-05,4.750356980620077e-06,0.02302667374076074,3.2889458833759226,0.009360114107938574
59,8.502503326675223e-05,3.8450553500724474e-06,0.02201158783373671,3.289919344577487,0.007816234642996559
